0,1,0|0,1,0,1.022,0.825,1.125,1.05,1,0,0,0,1
1,0,0|0,0,1,0.7120000000000001,0.875,0.955,0.635,0,1,0,0,1
1,0,0|0,0,1,0.8220000000000001,0.905,1.025,0.86,1,0,0,1,0
0,0,1|0,0,1,0.924,0.875,0.935,0.73,0,1,0,1,0
1,0,0|0,0,1,0.728,0.85,0.975,0.665,0,1,1,0,0
0,1,0|0,1,0,0.934,0.765,1.095,1.04,1,0,1,0,0
0,1,0|0,1,0,0.924,0.705,1.085,0.875,0,1,0,0,1
0,1,0|0,1,0,0.868,0.72,1.09,0.92,0,1,0,0,1
0,1,0|0,1,0,0.938,0.73,1.11,0.975,0,1,0,0,1
1,0,0|1,0,0,0.92,1.075,0.97,0.84,1,0,1,0,0
1,0,0|1,0,0,0.7759999999999999,0.8800000000000001,0.955,0.655,0,1,0,0,1
1,0,0|1,0,0,0.828,0.925,1.01,0.775,1,0,0,0,1
0,1,0|0,1,0,0.972,0.8,1.15,1.16,1,0,0,1,0
0,1,0|0,1,0,1.002,0.75,1.125,1.0,1,0,0,1,0
1,0,0|0,1,0,0.764,0.905,0.925,0.79,1,0,1,0,0
1,0,0|1,0,0,0.7240000000000001,0.805,0.935,0.71,0,1,0,1,0
0,0,1|0,0,1,1.018,0.9550000000000001,0.98,0.71,1,0,0,1,0
1,0,0|0,0,1,0.792,0.905,0.93,0.89,1,0,0,1,0
1,0,0|0,0,1,0.7240000000000001,0.865,0.935,0.66,0,1,0,1,0
1,0,0|0,1,0,0.762,0.825,0.99,0.765,0,1,0,0,1
0,1,0|0,1,0,0.91,0.6950000000000001,1.05,0.84,0,1,0,1,0
1,0,0|0,0,1,0.83,0.925,1.005,0.8,1,0,0,0,1
0,0,1|0,0,1,0.9279999999999999,0.89,0.955,0.74,0,1,0,1,0
0,1,0|0,1,0,1.016,0.7849999999999999,1.13,1.04,1,0,0,0,1
0,0,1|0,0,1,1.16,0.89,0.905,0.74,0,1,1,0,0
1,0,0|0,0,1,0.73,0.9,0.91,0.63,0,1,1,0,0
0,1,0|0,1,0,0.8540000000000001,0.6849999999999999,1.04,0.79,0,1,0,1,0
1,0,0|0,1,0,0.84,0.975,1.0,0.81,1,0,0,1,0
1,0,0|0,0,1,0.792,0.9400000000000001,0.95,0.92,1,0,1,0,0
0,1,0|0,1,0,0.8340000000000001,0.735,1.05,0.94,0,1,0,0,1
1,0,0|1,0,0,0.8420000000000001,0.9550000000000001,0.975,0.8,1,0,0,1,0
1,0,0|1,0,0,0.774,0.95,0.975,0.69,0,1,1,0,0
0,1,0|0,1,0,1.01,0.795,1.125,1.08,1,0,0,1,0
